tok_embeddings.weight norm=1.5377819538e-01
layers.11._checkpoint_wrapped_module.attention.wo.weight norm=1.4153228700e-01
layers.11._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w1_EFD norm=9.2416417599e-01
layers.11._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w2_EDF norm=8.8029015064e-01
layers.11._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w3_EFD norm=9.0951484442e-01
layers.11._checkpoint_wrapped_module.moe.router.gate.weight norm=1.4392521977e-01
layers.11._checkpoint_wrapped_module.moe.shared_experts.w13.weight norm=3.8717931509e-01
layers.11._checkpoint_wrapped_module.moe.shared_experts.w2.weight norm=2.7011170983e-01
layers.11._checkpoint_wrapped_module.moe.routed_down.weight norm=1.2886358500e+00
layers.11._checkpoint_wrapped_module.moe.routed_norm.weight norm=1.7234792933e-02
layers.11._checkpoint_wrapped_module.moe.routed_up.weight norm=8.7727141380e-01
layers.11._checkpoint_wrapped_module.attention_norm.weight norm=3.1164479442e-03
layers.11._checkpoint_wrapped_module.ffn_norm.weight norm=2.5640444830e-02
layers.11._checkpoint_wrapped_module.attention_res_norm.weight norm=6.1403628206e-04
layers.11._checkpoint_wrapped_module.attention_res_proj.weight norm=3.1476993114e-02
