act per layer per 8K micro-batch (report recipe, estimate): 1.63 GiB
params: experts 92 x 29.6 B + MTP 30.2 B

=== H100: HBM 74.5 GiB, NVLink domain 8, IB 50 GB/s per GPU
TP candidates (divide 96 heads, inside one NVLink domain, at most 8): [1, 2, 3, 4, 6, 8]
| PP x VP | EP | TP | stages | layers/stage | static GiB (rank) | layer x mb in flight (M) | acts no offload GiB | AttnRes+hidden (lower bound) GiB | headroom for acts GiB | acts that must leave HBM | EP IB ms / layer fwd ms |
| 4 x 6 | 32 | 1 | 24 | 3.9 | 85 (r1) | 101 (16) | 165 | 28.1 | 155 | 6% | 0 / 17 |
| 4 x 6 | 64 | 1 | 24 | 3.9 | 63 (r0) | 101 (16) | 165 | 28.1 | 177 | 0% | 0 / 17 |
| 4 x 6 | 8 | 2 | 24 | 3.9 | 211 (r1) | 101 (16) | 82 | 14.1 | 43 | 47% | 0 / 9 |
| 4 x 6 | 16 | 2 | 24 | 3.9 | 118 (r1) | 101 (16) | 82 | 14.1 | 136 | 0% | 0 / 9 |
| 4 x 6 | 32 | 2 | 24 | 3.9 | 71 (r1) | 101 (16) | 82 | 14.1 | 183 | 0% | 0 / 9 |
| 4 x 6 | 64 | 2 | 24 | 3.9 | 48 (r1) | 101 (16) | 82 | 14.1 | 206 | 0% | 0 / 9 |
| 4 x 6 | 8 | 8 | 24 | 3.9 | 201 (r1) | 101 (16) | 21 | 3.5 | 64 | 0% | 0 / 2 |
| 4 x 6 | 16 | 8 | 24 | 3.9 | 108 (r1) | 101 (16) | 21 | 3.5 | 157 | 0% | 0 / 2 |
| 4 x 6 | 32 | 8 | 24 | 3.9 | 61 (r1) | 101 (16) | 21 | 3.5 | 204 | 0% | 0 / 2 |
| 4 x 6 | 64 | 8 | 24 | 3.9 | 38 (r1) | 101 (16) | 21 | 3.5 | 227 | 0% | 0 / 2 |
| 4 x 8 | 8 | 1 | 32 | 2.9 | 224 (r1) | 99 (16) | 162 | 35.1 | 9 | 94% | 0 / 17 |
| 4 x 8 | 16 | 1 | 32 | 2.9 | 131 (r3) | 99 (16) | 162 | 35.1 | 102 | 37% | 0 / 17 |
| 4 x 8 | 32 | 1 | 32 | 2.9 | 86 (r3) | 99 (16) | 162 | 35.1 | 147 | 9% | 0 / 17 |
| 4 x 8 | 64 | 1 | 32 | 2.9 | 64 (r3) | 99 (16) | 162 | 35.1 | 170 | 0% | 0 / 17 |
| 4 x 8 | 8 | 2 | 32 | 2.9 | 210 (r1) | 99 (16) | 81 | 17.6 | 40 | 50% | 0 / 9 |
| 4 x 8 | 16 | 2 | 32 | 2.9 | 117 (r1) | 99 (16) | 81 | 17.6 | 133 | 0% | 0 / 9 |
| 4 x 8 | 32 | 2 | 32 | 2.9 | 71 (r1) | 99 (16) | 81 | 17.6 | 180 | 0% | 0 / 9 |
| 4 x 8 | 64 | 2 | 32 | 2.9 | 48 (r3) | 99 (16) | 81 | 17.6 | 202 | 0% | 0 / 9 |
| 4 x 8 | 8 | 8 | 32 | 2.9 | 200 (r1) | 99 (16) | 20 | 4.4 | 63 | 0% | 0 / 2 |
